,Name,ID,RAM,Processor,Model,Brand,Screen Size,Connectivity,OS,Camera,Storage,Price
0,"S23 Ultra 5G Unlocked Smartphone OLED 7.3"" 4GB+128GB Android 13 Mobile Phones",314965513410,4 GB,Qualcomm SM8550,S23 Ultra 5G,Unbranded,7.3in,"2G,3G,4G,5G,GPS,LTE,NFC,USBType-C,Wi-Fi",Android,50.0 MP,128 GB,119.99 to 135.99
1,OnePlus 10T 5G 128GB Moonstone Black  T-Mobile Unlocked Smartphone - Brand New.,185997734023,8 GB,Octa Core,OnePlus 10T 5G,OnePlus,6.7 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC",OxygenOS,50.0 MP,128 GB,269.99
2,Apple iPhone 11 - 128GB - A2111 Fully Unlocked - Pristine Condition - Smartphone,115382465534,2 GB,,Apple iPhone 11,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,,178.00 to 369.00
3,"S23 Ultra Smartphone 7.3"" 4+64GB Android Factory Unlocked Mobile Phones 8000mAh",385620301013,4 GB,10 Core,S23 Ultra,Unbranded,7.3 in,"3G, 4G, 5G, GPS, LTE, USB Type-C, Wi-Fi",Android,Front 50MP+Rear 108MP,64 GB,109.47
4,Apple iPhone 8 64GB 128GB 256GB Unlocked ATT T-Mobile Verizon Good Condition,175358971572,2 GB,Quad Core,Apple iPhone 8,Apple,4.7 in,"4G, Bluetooth, GPS",iOS,12.0 MP,,99.98 to 109.98
5,Cat S62 SMARTPHONE S62 T-Mobile Unlocked 128GB Black Good,195948369771,,,S62 SMARTPHONE,Cat,,,,,128GB,79.99
6,2020 Apple iPhone SE 2nd Gen (Great Condition) Unlocked Verizon AT&T T-Mobile,334691749565,3 GB,Hexa Core,Apple iPhone SE (2nd Generation),Apple,4.7 in,"4G, 4G+, Bluetooth, GPS, Lightning, LTE, Wi-Fi",iOS,12.0 MP,,166.24 to 180.49
7,Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,304078563335,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,64 GB,284.95
9,Samsung Galaxy S9 & S9+ Plus 64GB 128GB 256GB - Unlocked AT&T T-Mobile Verizon,185999762253,4 GB,Octa Core,,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi",Android,12.0 MP,,154.94
10,Samsung Galaxy S21 + PLUS 5G 128GB Unlocked Verizon AT&T T-mobile Metro OPEN BOX,115650883660,8 GB,Octa Core,Samsung Galaxy S21+ 5G,Samsung,6.8 in,5G,Android,12.0 MP,128 GB,298.48
